RANDOM GENERATOR: (refresh page)        ---->,,,,,Extremely,,,,Tissue Paper,,,,,,,,,
MASTER LIST,,,,,,,,,,,,,,,,,,
Keyword,,Description,Category,,STYLES:,184,LIGHTING:,31,AMENITIES:,51,CONTEXT,573,ARTISTS:,96,SUBJECTS:,500,BACKGROUNDS: ,20
Katsushika Hokusai ,," Japonisme influence that helped shape Impressionism, several decades later.
Famous works of art: The Great Wave Off Kanagawa (c. 1826–1833)",Artist,,Headshot ,,God Rays,,4K,,Dramatic,,Katsushika Hokusai ,,Action Figure,,Arctic,
Keith Haring,," trademark line drawings,",Artist,,Vray,,Golden Hour,,8K,,Low Angle Shot,,Keith Haring,,Air,,Interior,
Headshot ,,"(commercial headshot, legit headshot, theatrical headshot, etc.)",Style,,Psychedelic,,Backlight,,Hd,,Adorned,,John Collier,,Album,,Atlantis,
John Collier,,19th century portrait painter. Add elegancy,Artist,,Pixabay,,Bluelight,,Sharp Focus,,Advanced,,Alphonse Mucha,,Alien,,Beach,
Alphonse Mucha,,2D portrait painting,Artist,,Pixiv,,Beige,,Hyper-Realistic,,Anger,,Rembrandt,,Amethyst,,Cave,
Vray,,3D Rendering for objetcts landscapes buildings,Style,,Expansive,,Black,,16K,,Anguished,,Ai Weiwei,,Angel,,City,
Rembrandt,,"A master painter, printmaker, and draughtsman, his extensive body of work continues to fascinate art-lovers around the world. It is why he is also known as an “Old Master”—a label reserved for Europe's most prolific pre-19th century painters.",Artist,,Artstation,,Blooming,,35Mm,,Arcane,,Gian Lorenzo Bernini,,Antenna,,Clouds,
Dramatic,,Add dramatic lighting or facial expressions,Context,,Art Nouveau,,Blue,,50Mm,,Architectural,,Diego Velázquez ,,Antique,,Colosseum,
Silk,,Add silken texture or silk clothes,Texture,,Pop-Art,,Blue.,,7:5,,Athletic,,Georgia O'Keeffe,,Architecture,,Crystal,
Ai Weiwei,,Ai explores Chinese identity in the modern world as well as the culture’s social history.,Artist,,Unreal Engine,,Bokeh,,70Mm,,Attacking,,Pablo Picasso,,Arrows,,Cubicle,
Gian Lorenzo Bernini,,"astonishing ability to create movement and bring forth Context with his work. In his hands, marble transforms into soft flesh that looks so real, that you’d want to reach out and squeeze it.
Famous works of art: The Rape of Proserpina (1621–1622), The Ecstasy of Saint Theresa (1647–1652)",Artist,,Modernist,,Bright,,Denoise,,Background,,René Magritte ,,Art,,Door,
Diego Velázquez ,,"Baroque period, one is best known for his honest and exquisite portraits of royalty:
afmous works of art: Portrait of Pope Innocent X (1650), Las Meninas (1656),",Artist,,3D,,Brown,,Blender,,Badass,,Andy Warhol,,Barbarian,,Empire,
God Rays,,beams of light through clouds,Lighting,,Abstract Expressionism,,Brunette,,Boosted,,Battle,,Yayoi Kusama,,Centaur,,Factory;,
Georgia O'Keeffe,,best known for her abstract depictions of colorful blooms and landscapes of the Southwestern United States.,Artist,,Acrylic Painting,,Cinematic,,By,,Beatiful,,Eugène Delacroix,,Cheerleader,,Field,
Pablo Picasso,,"Blue Period, Cubism, and Surrealism.",Artist,,Analog,,Contrast,,Defined,,Beautiful,,Mary Cassatt,,Cherub,,Files,
René Magritte ,,blurred the line between reality and fantasy and invited the viewer to question what they thought they knew.,Artist,,Ancient,,Dark,,Definition,,Beautifully,,Diego Rivera,,Clown,,Flame,
Andy Warhol,,"bold, contemporary imagery; a bright color palette; and a repetitive aesthetic inspired by mass production.",Artist,,Animated,,Darkness,,Detail,,Beauty,,Claude Monet,,Cowboy,,Flora,
Low Angle Shot,,camera is looking up,Context,,Anime,,Daytime,,Detailed,,Blonde,,Jean-Michel Basquiat,,Cyborg,,Fog,
Yayoi Kusama,,"Characterized by polka dots, bold color palettes, and organic forms, her aesthetic is perhaps best typified by her pumpkin art, a collection of works celebrating the subject's “generous unpretentiousness.”",Artist,,Art Deco,,Early,,Details,,Burning,,Albrecht Dürer,,Demon,,Forest,
Psychedelic,,Colorful and distorted,Style,,Arts & Crafts,,Dramatic lighting,,Dribbble,,Center,,Michelangelo,,Devil,,Forest.,
Pixabay,,Commercial Stock Photo Style,Style,,Assemblage,,Cinematic lighting,,Dynasty,,Centered,,Paul Cézanne,,Doll,,,
Eugène Delacroix,,"contemporary events, mythological scenes, Orientalism, and portraiture.",Artist,,Astral,,Rim lighting,,Equal,,Charismatic,,Henri Matisse,,Fairy,,,
Mary Cassatt,,depict women and girls in a state of solitary reflection.,Artist,,Atelier Populaire,,Soft lighting,,Extra,,Cheekbones,,Gustav Klimt ,,Ghost,,,
Diego Rivera,,distinct paintings characterized by a bold color palette and simplified forms inspired by both Mayan and Aztec art. ,Artist,,Avant-Garde,,Volumetric,,Extreme,,Close,,John Singer Sargent,,Gnome,,,
Claude Monet,,"distinctively dappled brushstrokes, a characteristically colorful range of tones, and a focus on light, the French artist created compositions that captured the essence of the movement.",Artist,,Ballpoint Pen Art,,Surreal,,Extremely,,Close-Up,,Raphael,,Goblin,,,
Jean-Michel Basquiat,,e street art by bringing graffiti into the gallery—a monumental move that made the glitz and glamor of the art world accessible to people from all walks of life.,Artist,,Baroque,,Fantastic backlight,,Fashion,,Closeup,,Edgar Degas,,Goddess,,,
Albrecht Dürer,,"engravings, woodcuts, and etchings based on his meticulously detailed drawings. It was the first time someone attempted to duplicate such realistic illustrations",Artist,,Bauhaus,,Studio light,,Fit,,Cold,,Amadeo Modigliani ,,Gremlin,,,
Michelangelo,,"Famous works of art: Pietà (1498–99) David ( 1501–4), Sistine Chapel ceiling (1508–12), The Last Judgment (1536–1541)",Artist,,Belle Époque,,Internal glow,,Fragile,,Covered,,Salvador Dalí,,Jester,,,
Paul Cézanne,,"Fauvism and a precursor to Cubism. Given his prominence in these groundbreaking genres, Cézanne is regarded as one of the most influential figures in the history of modern art.
Famous works of art: The Card Players series (early 1890s), The Bathers series (1898–1905)",Artist,,Biomorphic,,Iridescent,,Very detailed,,Cozy,,Frida Kahlo ,,Joker,,,
Henri Matisse,,"first emerged as a Post-Impressionist. Then, in 1904, he led the Fauvism movement, which is French for “wild beasts.” The Les Fauves were a group of modern artists who favored pure, bright colors and expressive brushstrokes over realism.",Artist,,Brocade,,Ray tracing,,Unreal engine,,Creative,,Peter Paul Rubens,,King,,,
Gustav Klimt ,,"glistening, gilded works he produced during his Golden Phase.",Artist,,Brushwork,,Dynamic,,Octane render,,Cute,,Vincent Van Gogh,,Knight,,,
Golden Hour,,Golden Hour Photo Lighting,Lighting,,Byzantine,,,,Photorealistic,,Deep,,Artemisia Gentileschi,,Leprechaun,,,
John Singer Sargent,,"Good to use with women's portraits, generate 19th century delicate clothings, some impressionism",Artist,,Caricature,,,,Hyperrealistic,,Depth,,Sandro Botticelli,,Mecha,,,
Raphael,,"He is primarily known for his Madonna paintings, including his vivid Madonna in the Grass, as well as his large-scale mural, The School of Athens, which celebrates philosophy.
Famous works of art:  Wedding of the Virgin (1504), School of Athens (1511), The Transfiguration (1520)",Artist,,Cartes-De-Visite,,,,Sharp focus,,Destroyed,,Édouard Manet,,Mermaid,,,
Edgar Degas,,he preferred to capture intimate indoor depictions,Artist,,Cartoon,,,,HDR,,Down,,Paul Gauguin,,Monster,,,
Amadeo Modigliani ,,"He’s best known for his distinctive nudes and portraits that are characterized by elongated proportions and African mask-like faces. While his nudes scandalized audiences at the time, his melancholic portraits revealed his subjects’ personal inner lives.",Artist,,Celluloid,,,,5:8,,Dust,,Caravaggio,,Mummy,,,
4K,,High Definition ,Amenities,,Cg,,,, 8:5 ,,Effect,,Leonardo Da Vinci,,Ninja,,,
8K,,High Definition ,Amenities,,Charcoal Drawing,,,, 2:1,,Elegant,,Jan Vermeer ,,Orc,,,
Hd,,High Definition ,Amenities,,Chiaroscuro,,,,1:2 ,,Emissions,,Banksy,,Pirate,,,
Sharp Focus,,Increase Amenities,Amenities,,Chromogenic Color Print,,,,9:20,,Evergarden,,Frida Kahlo,,Queen,,,
Hyper-Realistic,,Increases details and Amenities,Amenities,,Classicism,,,,20:9,,Existential,,Mark Rothko,,Robot,,,
Salvador Dalí,,"depicting his own inner world, dreams, and hallucinations.",Artist,,Cobra,,,,4:3,,Expressive,,Jackson Pollock,,Saint,,,
Pixiv,,Japanese Anime Style,Style,,Collage,,,,16:9 ,,F/148,,Stanley Artgerm Lau,,Skeleton,,,
Frida Kahlo ,,"known for her compelling self-portraits, which deal with themes of identity, suffering, and the human body.",Artist,,Color Pencil,,,,2.39:1,,F/5.6,,Takashi Murakami,,Soldier,,,
Peter Paul Rubens,,"Known for his voluptuous women, opulent colors, and dynamic compositions, Rubens established himself as a prominent court painter for the Spanish Hapsburgs, developing an international reputation as an artist and diplomat.
Famous works of art: Marie de' Medici cycle (1620s)",Artist,,Conceptual Art,,,,1:1,,F1.8,,Utagawa Hiroshige,,Spirit,,,
Vincent Van Gogh,,"landscapes, portraiture, and urban scenes—in an iconic style that is uniquely his own.",Artist,,Constructivism,,,,9:16,,Feeling,,Agnolo Di Cosimo,,Stones,,,
Expansive,,large scene small subject,Style,,Cubism,,,,9:19.5,,Fiction,,Amy Sherald,,Superhero,,,
Artemisia Gentileschi,,"large-scale Biblical and mythological paintings, ",Artist,,Dadaism,,,,3:2,,Fire,,Andrew Wyeth,,Toy,,,
Sandro Botticelli,,"larger-than-life, mythological scenes.
Famous works of art: Birth of Venus (c. 1486), Primavera (c. 1477–82)",Artist,,Daguerreotype,,,,2:3,,Focus,,Anton Raphael Mengs,,Troll,,,
Édouard Manet,,"led the transition from Realism to Impressionism. Controversial at the time, his paintings depicted nude women—one of which was the French female painter, Victorine Meurent—",Artist,,Der Blaue Reiter,,,,5:4 ,,Form,,August Macke,,Vampire,,,
Paul Gauguin,,"married his day-to-day observations with mythical symbolism. This style was strongly influenced by the so-called “primitive” arts of Africa, Asia, and French Polynesia.",Artist,,Divisionism,,,,4:5 ,,Fortune-Telling,,Chuck Close,,Witch,,,
Caravaggio,,"masterful use of extreme light and dark, or tenebrism, added an unparalleled psychological drama to his paintings.
Famous works of art: The Calling of Saint Matthew (1599–1600), David with the Head of Goliath (1610)",Artist,,Doodle,,,,,,Fractured,,Cindy Sherman,,Wizard,,,
Leonardo Da Vinci,,"mastery of oil painting techniques such as sfumato and chiaroscuro can be seen in his portraits, Mona Lisa and Lady with an Ermine. ",Artist,,Double Exposure,,,,,,Friendly,,Craig Wylie,,Zombie,,,
Artstation,,Modern Illustration & Fantasy Theme,Style,,Driver’s License Photo,,,,,,victimized,,Diego Velázquez,,Atlas,,,
Jan Vermeer ,,"often painting scenes of domestic life, the master of light, exceptional understanding of color, composition, and realism.",Artist,,Drypoint,,,,,,accused,,Egon Schiele,,Atmosphereby,,,
Art Nouveau,,Ornaments and details,Style,,École Des Beaux-Arts,,,,,,acquitted,,Elizabeth Bakewell,,Aurora,,,
Banksy,,"politically and socially charged art, oftentimes with a sense of dark humor. ",Artist,,Encaustic Painting,,,,,,adorable,,Elizabeth Peyton,,Award,,,
Pop-Art,,Pop-art style,Style,,Engraving,,,,,,adored,,Emilio P. Fiaschi,,Bamboo,,,
Frida Kahlo,,Quite strong effect following Kahlo's portrait style. Sometimes results in picture frame,Artist,,Environmental Portrait,,,,,,affected,,Francis Bacon,,Band,,,
Unreal Engine,,Realistic 3D,Style,,Etching,,,,,,afflicted,,Francisco Goya,,Bartocha,,,
Mark Rothko,,"signature compositions of hazy, colored squares on large canvases that occupy a viewer's entire field of vision, evoking what he referred to as “the sublime.”",Artist,,Expressionism,,,,,,aghast,,George Henry Harlow,,Batman,,,
Jackson Pollock,,"signature drip paintings—which he began producing in the late 1940s—captivated the art world. Pollock redefined line, color, and pictorial space by finding an entirely new way to fill a canvas.",Artist,,Exquisite Corpse,,,,,,agog,,Gilbert Stuart,,Baxter,,,
Stanley Artgerm Lau,,Strong realistic modern drawing,Artist,,Fauvism,,,,,,agonized,,Giovanni Bellini,,Bed,,,
Takashi Murakami,,"Through his art, Murakami explores Japan's contemporary culture as well as the West's ever-growing influence on it.",Artist,,Foreshortening,,,,,,alarmed,,Giuseppe Arcimboldo,,Beef,,,
Modernist,,"vibrant color, high contrast",Style,,Fresco,,,,,,amused,,Grant Wood,,Belt,,,
Utagawa Hiroshige,,"woodblock prints and paintings that depicted scenes of history, nature, and the famous faces of Edo",Artist,,Frottage,,,,,,angry,,Gustav Klimt,,Ben,,,
16K,,,Amenities,,Futurism,,,,,,anguished,,Gustave Caillebotte,,Bernie,,,
1970'S,,,Style ,,Gelatin Silver Print,,,,,,animated,,H. Walter Barnett,,Big,,,
35Mm,,,Amenities,,Geometric,,,,,,annoyed,,J. M. Barrie,,Biggie,,,
3D,,a three-dimensional form,Style,,Glamour Shot,,,,,,anxious,,Jacques-Louis David,,Bird,,,
50Mm,,,Amenities,,Glass Painting,,,,,,apathetic,,James Mcneill Whistler,,Birds,,,
7:5,,,Amenities,,Gond Painting,,,,,,appalled,,Jan Lievens,,Bit,,,
70Mm,,,Amenities,,Gouache,,,,,,appeased,,Jean Auguste Dominique Ingres,,Bitcoin,,,
90'S,,,Style ,,Grotesque,,,,,,appreciated,,Jeanne Bernard Dabos,,Björk,,,
Abstract,,,Style ,,Halftone,,,,,,apprehensive,,Jenny Saville,,Blossom,,,
Abstract Expressionism,,,Style,,Harlem Renaissance,,,,,,approved of,,Johannes Vermeer,,Bodies,,,
Acrylic Painting,,,Style,,Head And Shoulders Picture,,,,,,ardent,,John Samuel Agar,,Body,,,
Action,,,Style ,,Hieroglyphics,,,,,,aroused,,Jonathan Yeo,,Book,,,
Action Figure,,,Subject,,Id Photo,,,,,,attached,,Joseph Collyer The Younger,,Books,,,
Adorned,,,Context,,Impasto,,,,,,attracted,,Kehinde Wiley,,Botanist,,,
Advanced,,,Context,,Impressionism,,,,,,autonomous,,Lucian Freud,,Box,,,
Aesthetic,,,Style ,,Ink Drawing,,,,,,awed,,Norman Rockwell,,Braided,,,
Agnolo Di Cosimo,,,Artist,,Kalamkari Painting,,,,,,awkward,,Otto Dix,,Brittany,,,
Air,,,Subject,,Kinetograph,,,,,,beaten down,,Petrus Christus,,Building,,,
Album,,,Subject,,Lacquer,,,,,,beatific,,Pierre-Auguste Renoir,,Camper,,,
Alien,,,Subject,,Line Drawing,,,,,,belonging,,Pietro Annigoni,,Caravan,,,
Amethyst,,,Subject,,Lithograph,,,,,,bereaved,,Pyotr Konchalovsky,,Cards,,,
Amy Sherald,,,Artist,,Lomo Photography,,,,,,betrayed,,Quentin Matsys,,Cash,,,
Analog,,,Style,,Madhubani Painting,,,,,,bewildered,,Ralph Steadman,,Cat,,,
Ancient,,,Style,,Manga,,,,,,bitter,,Rembrandt Van Rijn,,Cedar,,,
Andrew Wyeth,,,Artist,,Minimalism,,,,,,blissful,,Roger Fry,,Chains,,,
Angel,,,Subject,,Monochrome,,,,,,blithe,,Shadi Ghadirian,,Chang'E,,,
Anger,,,Context,,Mugshot,,,,,,blocked,,Sofonisba Anguissola,,Character,,,
Anguished,,,Context,,Needlepoint,,,,,,blue,,Vanessa Bell,,Characters.,,,
Animated,,,Style,,Neo-Impressionism,,,,,,boiling,,Walter Keane,,Cherry,,,
Anime,,,Style,,Neoclassicism,,,,,,bold,,William Daniell,,Chest,,,
Antenna,,,Subject,,Neue Sachlichkeit,,,,,,bored,,,,Cigarettes,,,
Antique,,,Subject,,Oil Painting,,,,,,brave,,,,Circle,,,
Anton Raphael Mengs,,,Artist,,Old Master,,,,,,bright,,,,Civilization,,,
Arcane,,,Context,,Op Art,,,,,,brisk,,,,Clarke,,,
Architectural,,,Context,,Paint Splatter,,,,,,calm,,,,Coins,,,
Architecture,,,Subject,,Paper Cutting,,,,,,capable,,,,Concrete,,,
Arctic,,,Background,,Papier-Collé,,,,,,captivated,,,,Costume,,,
Arrows,,,Subject,,Papier-Mâché,,,,,,careless,,,,Crew,,,
Art,,,Subject,,Passport Photo,,,,,,categorized,,,,Crossbowman,,,
