RANDOM GENERATOR: (refresh page)        ---->,,,,,Extremely,,,,Tissue Paper,,,,,,,,,
Muskox,,,Subject,,,,,,,,,,,,,,,
Muskrat,,,Subject,,,,,,,,,,,,,,,
Naked Mole Rat,,,Subject,,,,,,,,,,,,,,,
Narwhal,,,Subject,,,,,,,,,,,,,,,
Nautilus,,,Subject,,,,,,,,,,,,,,,
Newt,,,Subject,,,,,,,,,,,,,,,
Ocelot,,,Subject,,,,,,,,,,,,,,,
Octopus,,,Subject,,,,,,,,,,,,,,,
Opossum,,,Subject,,,,,,,,,,,,,,,
Orangutan,,,Subject,,,,,,,,,,,,,,,
Orca,,,Subject,,,,,,,,,,,,,,,
Osprey,,,Subject,,,,,,,,,,,,,,,
Ostrich,,,Subject,,,,,,,,,,,,,,,
Otter,,,Subject,,,,,,,,,,,,,,,
Owl,,,Subject,,,,,,,,,,,,,,,
Ox,,,Subject,,,,,,,,,,,,,,,
Panda,,,Subject,,,,,,,,,,,,,,,
Panther,,,Subject,,,,,,,,,,,,,,,
Peacock,,,Subject,,,,,,,,,,,,,,,
Pelican,,,Subject,,,,,,,,,,,,,,,
Penguin,,,Subject,,,,,,,,,,,,,,,
Pig,,,Subject,,,,,,,,,,,,,,,
Pigeon,,,Subject,,,,,,,,,,,,,,,
Platypus,,,Subject,,,,,,,,,,,,,,,
Polar Bear,,,Subject,,,,,,,,,,,,,,,
Porcupine,,,Subject,,,,,,,,,,,,,,,
Praying Mantis,,,Subject,,,,,,,,,,,,,,,
Prawn,,,Subject,,,,,,,,,,,,,,,
Puma,,,Subject,,,,,,,,,,,,,,,
Quail,,,Subject,,,,,,,,,,,,,,,
Quetzal,,,Subject,,,,,,,,,,,,,,,
Rabbit,,,Subject,,,,,,,,,,,,,,,
Raccoon,,,Subject,,,,,,,,,,,,,,,
Rat,,,Subject,,,,,,,,,,,,,,,
Ray,,,Subject,,,,,,,,,,,,,,,
Reindeer,,,Subject,,,,,,,,,,,,,,,
Rhino,,,Subject,,,,,,,,,,,,,,,
Ringworm,,,Subject,,,,,,,,,,,,,,,
Rhinoceros,,,Subject,,,,,,,,,,,,,,,
Robin,,,Subject,,,,,,,,,,,,,,,
Rooster,,,Subject,,,,,,,,,,,,,,,
Roundworm,,,Subject,,,,,,,,,,,,,,,
Salmon,,,Subject,,,,,,,,,,,,,,,
Salt water alligator,,,Subject,,,,,,,,,,,,,,,
Sandpiper,,,Subject,,,,,,,,,,,,,,,
Seahorse,,,Subject,,,,,,,,,,,,,,,
Seal,,,Subject,,,,,,,,,,,,,,,
Sea anemone,,,Subject,,,,,,,,,,,,,,,
Sea Lion,,,Subject,,,,,,,,,,,,,,,
Sea urchin,,,Subject,,,,,,,,,,,,,,,
Scallop,,,Subject,,,,,,,,,,,,,,,
Scorpion,,,Subject,,,,,,,,,,,,,,,
Shark,,,Subject,,,,,,,,,,,,,,,
Sheep,,,Subject,,,,,,,,,,,,,,,
Shrimp,,,Subject,,,,,,,,,,,,,,,
Siberian Husky,,,Subject,,,,,,,,,,,,,,,
Siberian Tiger,,,Subject,,,,,,,,,,,,,,,
Skunks,,,Subject,,,,,,,,,,,,,,,
Slender Loris,,,Subject,,,,,,,,,,,,,,,
Sloth,,,Subject,,,,,,,,,,,,,,,
Sloth bear,,,Subject,,,,,,,,,,,,,,,
Slugs,,,Subject,,,,,,,,,,,,,,,
Snails,,,Subject,,,,,,,,,,,,,,,
Snake,,,Subject,,,,,,,,,,,,,,,
Snow Hare,,,Subject,,,,,,,,,,,,,,,
Snow Fox,,,Subject,,,,,,,,,,,,,,,
Snow Leopard,,,Subject,,,,,,,,,,,,,,,
Somali Wild Ass,,,Subject,,,,,,,,,,,,,,,
Sponge,,,Subject,,,,,,,,,,,,,,,
Spectacled Bear,,,Subject,,,,,,,,,,,,,,,
Squid,,,Subject,,,,,,,,,,,,,,,
Squirrel,,,Subject,,,,,,,,,,,,,,,
Starfish,,,Subject,,,,,,,,,,,,,,,
Stork,,,Subject,,,,,,,,,,,,,,,
Swan,,,Subject,,,,,,,,,,,,,,,
Swordfish,,,Subject,,,,,,,,,,,,,,,
Tapir,,,Subject,,,,,,,,,,,,,,,
Tasmanian Devil,,,Subject,,,,,,,,,,,,,,,
Tiger,,,Subject,,,,,,,,,,,,,,,
Tadpole,,,Subject,,,,,,,,,,,,,,,
Tamarin,,,Subject,,,,,,,,,,,,,,,
Tapeworm,,,Subject,,,,,,,,,,,,,,,
Tarantula,,,Subject,,,,,,,,,,,,,,,
Tarpan,,,Subject,,,,,,,,,,,,,,,
Tazmanian devil,,,Subject,,,,,,,,,,,,,,,
Tazmanian tiger,,,Subject,,,,,,,,,,,,,,,
Terrapin,,,Subject,,,,,,,,,,,,,,,
Tick,,,Subject,,,,,,,,,,,,,,,
Tiger shark,,,Subject,,,,,,,,,,,,,,,
Tortoise,,,Subject,,,,,,,,,,,,,,,
Trout,,,Subject,,,,,,,,,,,,,,,
Turkey,,,Subject,,,,,,,,,,,,,,,
Turtle,,,Subject,,,,,,,,,,,,,,,
Uakari,,,Subject,,,,,,,,,,,,,,,
Umbrella bird,,,Subject,,,,,,,,,,,,,,,
Urchin,,,Subject,,,,,,,,,,,,,,,
Urutu,,,Subject,,,,,,,,,,,,,,,
Vicuna,,,Subject,,,,,,,,,,,,,,,
Viper,,,Subject,,,,,,,,,,,,,,,
Vulture,,,Subject,,,,,,,,,,,,,,,
Vampire bat,,,Subject,,,,,,,,,,,,,,,
Velociraptor,,,Subject,,,,,,,,,,,,,,,
Vole,,,Subject,,,,,,,,,,,,,,,
Viper Fish,,,Subject,,,,,,,,,,,,,,,
Velvet worm,,,Subject,,,,,,,,,,,,,,,
Vervet,,,Subject,,,,,,,,,,,,,,,
Walrus,,,Subject,,,,,,,,,,,,,,,
Warbler,,,Subject,,,,,,,,,,,,,,,
Warthog,,,Subject,,,,,,,,,,,,,,,
Wasp,,,Subject,,,,,,,,,,,,,,,
Water Buffalo,,,Subject,,,,,,,,,,,,,,,
Water Dragons,,,Subject,,,,,,,,,,,,,,,
Wallaby,,,Subject,,,,,,,,,,,,,,,
Whale,,,Subject,,,,,,,,,,,,,,,
Whale Shark,,,Subject,,,,,,,,,,,,,,,
White Rhino,,,Subject,,,,,,,,,,,,,,,
Whippet,,,Subject,,,,,,,,,,,,,,,
White tailed dear,,,Subject,,,,,,,,,,,,,,,
Whooper,,,Subject,,,,,,,,,,,,,,,
Whooping Crane,,,Subject,,,,,,,,,,,,,,,
Weasel,,,Subject,,,,,,,,,,,,,,,
Weevil,,,Subject,,,,,,,,,,,,,,,
Wolf,,,Subject,,,,,,,,,,,,,,,
Wolf Spider,,,Subject,,,,,,,,,,,,,,,
Wolverine,,,Subject,,,,,,,,,,,,,,,
Woodchuck,,,Subject,,,,,,,,,,,,,,,
Woodpecker,,,Subject,,,,,,,,,,,,,,,
Widow Spider,,,Subject,,,,,,,,,,,,,,,
Wren,,,Subject,,,,,,,,,,,,,,,
Wombat,,,Subject,,,,,,,,,,,,,,,
Wildcat,,,Subject,,,,,,,,,,,,,,,
Wildebeest,,,Subject,,,,,,,,,,,,,,,
X-ray fish,,,Subject,,,,,,,,,,,,,,,
Yak,,,Subject,,,,,,,,,,,,,,,
Yellow Bellied Marmot,,,Subject,,,,,,,,,,,,,,,
Yellow belly sapsucker,,,Subject,,,,,,,,,,,,,,,
Yellow finned tuna,,,Subject,,,,,,,,,,,,,,,
Yeti,,,Subject,,,,,,,,,,,,,,,
Yorkshire terrier,,,Subject,,,,,,,,,,,,,,,
Zander,,,Subject,,,,,,,,,,,,,,,
Zebra,,,Subject,,,,,,,,,,,,,,,
Zebra Finch,,,Subject,,,,,,,,,,,,,,,
Zebra Dove,,,Subject,,,,,,,,,,,,,,,
Zorilla,,,Subject,,,,,,,,,,,,,,,
Zebu,,,Subject,,,,,,,,,,,,,,,
victimized,,,Context,,,,,,,,,,,,,,,
accused,,,Context,,,,,,,,,,,,,,,
acquitted,,,Context,,,,,,,,,,,,,,,
adorable,,,Context,,,,,,,,,,,,,,,
adored,,,Context,,,,,,,,,,,,,,,
affected,,,Context,,,,,,,,,,,,,,,
afflicted,,,Context,,,,,,,,,,,,,,,
aghast,,,Context,,,,,,,,,,,,,,,
agog,,,Context,,,,,,,,,,,,,,,
agonized,,,Context,,,,,,,,,,,,,,,
alarmed,,,Context,,,,,,,,,,,,,,,
amused,,,Context,,,,,,,,,,,,,,,
angry,,,Context,,,,,,,,,,,,,,,
anguished,,,Context,,,,,,,,,,,,,,,
animated,,,Context,,,,,,,,,,,,,,,
annoyed,,,Context,,,,,,,,,,,,,,,
anxious,,,Context,,,,,,,,,,,,,,,
apathetic,,,Context,,,,,,,,,,,,,,,
appalled,,,Context,,,,,,,,,,,,,,,
appeased,,,Context,,,,,,,,,,,,,,,
appreciated,,,Context,,,,,,,,,,,,,,,
apprehensive,,,Context,,,,,,,,,,,,,,,
approved of,,,Context,,,,,,,,,,,,,,,
ardent,,,Context,,,,,,,,,,,,,,,
aroused,,,Context,,,,,,,,,,,,,,,
attached,,,Context,,,,,,,,,,,,,,,
attracted,,,Context,,,,,,,,,,,,,,,
autonomous,,,Context,,,,,,,,,,,,,,,
awed,,,Context,,,,,,,,,,,,,,,
awkward,,,Context,,,,,,,,,,,,,,,
beaten down,,,Context,,,,,,,,,,,,,,,
beatific,,,Context,,,,,,,,,,,,,,,
belonging,,,Context,,,,,,,,,,,,,,,
bereaved,,,Context,,,,,,,,,,,,,,,
betrayed,,,Context,,,,,,,,,,,,,,,
bewildered,,,Context,,,,,,,,,,,,,,,
bitter,,,Context,,,,,,,,,,,,,,,
blissful,,,Context,,,,,,,,,,,,,,,
blithe,,,Context,,,,,,,,,,,,,,,
blocked,,,Context,,,,,,,,,,,,,,,
blue,,,Context,,,,,,,,,,,,,,,
boiling,,,Context,,,,,,,,,,,,,,,
bold,,,Context,,,,,,,,,,,,,,,
bored,,,Context,,,,,,,,,,,,,,,
brave,,,Context,,,,,,,,,,,,,,,
bright,,,Context,,,,,,,,,,,,,,,
brisk,,,Context,,,,,,,,,,,,,,,
calm,,,Context,,,,,,,,,,,,,,,
capable,,,Context,,,,,,,,,,,,,,,
captivated,,,Context,,,,,,,,,,,,,,,
careless,,,Context,,,,,,,,,,,,,,,
categorized,,,Context,,,,,,,,,,,,,,,
cautious,,,Context,,,,,,,,,,,,,,,
certain,,,Context,,,,,,,,,,,,,,,
chagrined,,,Context,,,,,,,,,,,,,,,
challenged,,,Context,,,,,,,,,,,,,,,
chastised,,,Context,,,,,,,,,,,,,,,
cheated,,,Context,,,,,,,,,,,,,,,
cheerful,,,Context,,,,,,,,,,,,,,,
cheerless,,,Context,,,,,,,,,,,,,,,
cheery,,,Context,,,,,,,,,,,,,,,
cherished,,,Context,,,,,,,,,,,,,,,
chicken,,,Context,,,,,,,,,,,,,,,
cocky,,,Context,,,,,,,,,,,,,,,
codependent,,,Context,,,,,,,,,,,,,,,
coerced,,,Context,,,,,,,,,,,,,,,
comfortable,,,Context,,,,,,,,,,,,,,,
common,,,Context,,,,,,,,,,,,,,,
competent,,,Context,,,,,,,,,,,,,,,
comBackgroundnt,,,Context,,,,,,,,,,,,,,,
composed,,,Context,,,,,,,,,,,,,,,
concerned,,,Context,,,,,,,,,,,,,,,
confident,,,Context,,,,,,,,,,,,,,,
confused,,,Context,,,,,,,,,,,,,,,
connected,,,Context,,,,,,,,,,,,,,,
conned,,,Context,,,,,,,,,,,,,,,
consumed,,,Context,,,,,,,,,,,,,,,
contented,,,Context,,,,,,,,,,,,,,,
controlled,,,Context,,,,,,,,,,,,,,,
convivial,,,Context,,,,,,,,,,,,,,,
cornered,,,Context,,,,,,,,,,,,,,,
courageous,,,Context,,,,,,,,,,,,,,,
cowardly,,,Context,,,,,,,,,,,,,,,
craving,,,Context,,,,,,,,,,,,,,,
crestfallen,,,Context,,,,,,,,,,,,,,,
criticized,,,Context,,,,,,,,,,,,,,,
cross,,,Context,,,,,,,,,,,,,,,
cross-examined,,,Context,,,,,,,,,,,,,,,
crushed,,,Context,,,,,,,,,,,,,,,
curious,,,Context,,,,,,,,,,,,,,,
cut off,,,Context,,,,,,,,,,,,,,,
daring,,,Context,,,,,,,,,,,,,,,
dark,,,Context,,,,,,,,,,,,,,,
dedicated,,,Context,,,,,,,,,,,,,,,
defeated,,,Context,,,,,,,,,,,,,,,
defenseless,,,Context,,,,,,,,,,,,,,,
degraded,,,Context,,,,,,,,,,,,,,,
dejected,,,Context,,,,,,,,,,,,,,,
depressed,,,Context,,,,,,,,,,,,,,,
deserted,,,Context,,,,,,,,,,,,,,,
desirable,,,Context,,,,,,,,,,,,,,,
despondent,,,Context,,,,,,,,,,,,,,,
detached,,,Context,,,,,,,,,,,,,,,
determined,,,Context,,,,,,,,,,,,,,,
diminished,,,Context,,,,,,,,,,,,,,,
disappointed,,,Context,,,,,,,,,,,,,,,
discarded,,,Context,,,,,,,,,,,,,,,
disconsolate,,,Context,,,,,,,,,,,,,,,
discontented,,,Context,,,,,,,,,,,,,,,
discounted,,,Context,,,,,,,,,,,,,,,
discouraged,,,Context,,,,,,,,,,,,,,,
disgraced,,,Context,,,,,,,,,,,,,,,
disgusted,,,Context,,,,,,,,,,,,,,,
disheartened,,,Context,,,,,,,,,,,,,,,
disillusioned,,,Context,,,,,,,,,,,,,,,
disjointed,,,Context,,,,,,,,,,,,,,,
dismal,,,Context,,,,,,,,,,,,,,,
dismayed,,,Context,,,,,,,,,,,,,,,
disoriented,,,Context,,,,,,,,,,,,,,,
disparaged,,,Context,,,,,,,,,,,,,,,
displeased,,,Context,,,,,,,,,,,,,,,
disrespected,,,Context,,,,,,,,,,,,,,,
distressed,,,Context,,,,,,,,,,,,,,,
distrustful,,,Context,,,,,,,,,,,,,,,
dolorous,,,Context,,,,,,,,,,,,,,,
doubtful,,,Context,,,,,,,,,,,,,,,
down,,,Context,,,,,,,,,,,,,,,
downhearted,,,Context,,,,,,,,,,,,,,,
dreadful,,,Context,,,,,,,,,,,,,,,
dreary,,,Context,,,,,,,,,,,,,,,
dubious,,,Context,,,,,,,,,,,,,,,
dull,,,Context,,,,,,,,,,,,,,,
duped,,,Context,,,,,,,,,,,,,,,
eager,,,Context,,,,,,,,,,,,,,,
earnest,,,Context,,,,,,,,,,,,,,,
ecstatic,,,Context,,,,,,,,,,,,,,,
elated,,,Context,,,,,,,,,,,,,,,
embarrassed,,,Context,,,,,,,,,,,,,,,
empathetic,,,Context,,,,,,,,,,,,,,,
enchanted,,,Context,,,,,,,,,,,,,,,
encouraged,,,Context,,,,,,,,,,,,,,,
engrossed,,,Context,,,,,,,,,,,,,,,
enraged,,,Context,,,,,,,,,,,,,,,
enterprising,,,Context,,,,,,,,,,,,,,,
enthusiastic,,,Context,,,,,,,,,,,,,,,
entrusted,,,Context,,,,,,,,,,,,,,,
esteemed,,,Context,,,,,,,,,,,,,,,
excited,,,Context,,,,,,,,,,,,,,,
excluded,,,Context,,,,,,,,,,,,,,,
exempt,,,Context,,,,,,,,,,,,,,,
exhausted hopeless,,,Context,,,,,,,,,,,,,,,
exhilarated,,,Context,,,,,,,,,,,,,,,
exploited,,,Context,,,,,,,,,,,,,,,
exposed,,,Context,,,,,,,,,,,,,,,
fabulous,,,Context,,,,,,,,,,,,,,,
fainthearted,,,Context,,,,,,,,,,,,,,,
fantastic,,,Context,,,,,,,,,,,,,,,
fascinated,,,Context,,,,,,,,,,,,,,,
favored,,,Context,,,,,,,,,,,,,,,
fearful,,,Context,,,,,,,,,,,,,,,
fervent,,,Context,,,,,,,,,,,,,,,
fervid,,,Context,,,,,,,,,,,,,,,
festive,,,Context,,,,,,,,,,,,,,,
flat,,,Context,,,,,,,,,,,,,,,
focused,,,Context,,,,,,,,,,,,,,,
forced,,,Context,,,,,,,,,,,,,,,
forsaken,,,Context,,,,,,,,,,,,,,,
framed,,,Context,,,,,,,,,,,,,,,
free,,,Context,,,,,,,,,,,,,,,
free & easy,,,Context,,,,,,,,,,,,,,,
frightened,,,Context,,,,,,,,,,,,,,,
frisky,,,Context,,,,,,,,,,,,,,,
frustrated,,,Context,,,,,,,,,,,,,,,
full of anticipation,,,Context,,,,,,,,,,,,,,,
full of ennui,,,Context,,,,,,,,,,,,,,,
fuming,,,Context,,,,,,,,,,,,,,,
funereal,,,Context,,,,,,,,,,,,,,,
furious,,,Context,,,,,,,,,,,,,,,
gallant,,,Context,,,,,,,,,,,,,,,
genial,,,Context,,,,,,,,,,,,,,,
glad,,,Context,,,,,,,,,,,,,,,
gleeful,,,Context,,,,,,,,,,,,,,,
gloomy,,,Context,,,,,,,,,,,,,,,
glum,,,Context,,,,,,,,,,,,,,,
grief-stricken,,,Context,,,,,,,,,,,,,,,
grieved,,,Context,,,,,,,,,,,,,,,
guilt,,,Context,,,,,,,,,,,,,,,
guilty,,,Context,,,,,,,,,,,,,,,
happy,,,Context,,,,,,,,,,,,,,,
hardy,,,Context,,,,,,,,,,,,,,,
heartbroken,,,Context,,,,,,,,,,,,,,,
heavyhearted,,,Context,,,,,,,,,,,,,,,
hesitant,,,Context,,,,,,,,,,,,,,,
high-spirited,,,Context,,,,,,,,,,,,,,,
hilarious,,,Context,,,,,,,,,,,,,,,
hopeful,,,Context,,,,,,,,,,,,,,,
horny,,,Context,,,,,,,,,,,,,,,
horrified,,,Context,,,,,,,,,,,,,,,
hot and bothered,,,Context,,,,,,,,,,,,,,,
humiliated,,,Context,,,,,,,,,,,,,,,
humorous,,,Context,,,,,,,,,,,,,,,
hurt,,,Context,,,,,,,,,,,,,,,
hysterical,,,Context,,,,,,,,,,,,,,,
ignored,,,Context,,,,,,,,,,,,,,,
ill at ease,,,Context,,,,,,,,,,,,,,,
immobilized,,,Context,,,,,,,,,,,,,,,
immune,,,Context,,,,,,,,,,,,,,,
important,,,Context,,,,,,,,,,,,,,,
impotent,,,Context,,,,,,,,,,,,,,,
imprisoned,,,Context,,,,,,,,,,,,,,,
in a huff,,,Context,,,,,,,,,,,,,,,
in a stew,,,Context,,,,,,,,,,,,,,,
in control,,,Context,,,,,,,,,,,,,,,
in fear,,,Context,,,,,,,,,,,,,,,
in pain,,,Context,,,,,,,,,,,,,,,
in the dumps,,,Context,,,,,,,,,,,,,,,
in the zone,,,Context,,,,,,,,,,,,,,,
incensed,,,Context,,,,,,,,,,,,,,,
included,,,Context,,,,,,,,,,,,,,,
indecisive,,,Context,,,,,,,,,,,,,,,
independent,,,Context,,,,,,,,,,,,,,,
indignant,,,Context,,,,,,,,,,,,,,,
infatuated,,,Context,,,,,,,,,,,,,,,
inflamed,,,Context,,,,,,,,,,,,,,,
injured,,,Context,,,,,,,,,,,,,,,
inquisitive,,,Context,,,,,,,,,,,,,,,
insecure,,,Context,,,,,,,,,,,,,,,
insignificant,,,Context,,,,,,,,,,,,,,,
intent,,,Context,,,,,,,,,,,,,,,
interested,,,Context,,,,,,,,,,,,,,,
interrogated,,,Context,,,,,,,,,,,,,,,
intrigued,,,Context,,,,,,,,,,,,,,,
irate,,,Context,,,,,,,,,,,,,,,
irresolute,,,Context,,,,,,,,,,,,,,,
irresponsible,,,Context,,,,,,,,,,,,,,,
irritated,,,Context,,,,,,,,,,,,,,,
isolated,,,Context,,,,,,,,,,,,,,,
jaunty,,,Context,,,,,,,,,,,,,,,
jocular,,,Context,,,,,,,,,,,,,,,
jolly,,,Context,,,,,,,,,,,,,,,
jovial,,,Context,,,,,,,,,,,,,,,
joyful,,,Context,,,,,,,,,,,,,,,
joyless,,,Context,,,,,,,,,,,,,,,
joyous,,,Context,,,,,,,,,,,,,,,
jubilant,,,Context,,,,,,,,,,,,,,,
justified,,,Context,,,,,,,,,,,,,,,
keen,,,Context,,,,,,,,,,,,,,,
labeled,,,Context,,,,,,,,,,,,,,,
lackadaisical,,,Context,,,,,,,,,,,,,,,
lazy,,,Context,,,,,,,,,,,,,,,
left out,,,Context,,,,,,,,,,,,,,,
let down,,,Context,,,,,,,,,,,,,,,
lethargic,,,Context,,,,,,,,,,,,,,,
lied to,,,Context,,,,,,,,,,,,,,,
lighthearted,,,Context,,,,,,,,,,,,,,,
liked,,,Context,,,,,,,,,,,,,,,
lively,,,Context,,,,,,,,,,,,,,,
livid,,,Context,,,,,,,,,,,,,,,
lonely,,,Context,,,,,,,,,,,,,,,
lonesome,,,Context,,,,,,,,,,,,,,,
lost,,,Context,,,,,,,,,,,,,,,
loved,,,Context,,,,,,,,,,,,,,,
low,,,Context,,,,,,,,,,,,,,,
lucky,,,Context,,,,,,,,,,,,,,,
lugubrious,,,Context,,,,,,,,,,,,,,,
macho,,,Context,,,,,,,,,,,,,,,
mad,,,Context,,,,,,,,,,,,,,,
melancholy,,,Context,,,,,,,,,,,,,,,
menaced,,,Context,,,,,,,,,,,,,,,
merry,,,Context,,,,,,,,,,,,,,,
mirthful,,,Context,,,,,,,,,,,,,,,
misgiving,,,Context,,,,,,,,,,,,,,,
misunderstood,,,Context,,,,,,,,,,,,,,,
moody,,,Context,,,,,,,,,,,,,,,
moping,,,Context,,,,,,,,,,,,,,,
motivated,,,Context,,,,,,,,,,,,,,,
mournful,,,Context,,,,,,,,,,,,,,,
needed,,,Context,,,,,,,,,,,,,,,
needy,,,Context,,,,,,,,,,,,,,,
nervous,,,Context,,,,,,,,,,,,,,,
obligated,,,Context,,,,,,,,,,,,,,,
obsessed,,,Context,,,,,,,,,,,,,,,
offended,,,Context,,,,,,,,,,,,,,,
oppressed,,,Context,,,,,,,,,,,,,,,
optionless,,,Context,,,,,,,,,,,,,,,
ordinary,,,Context,,,,,,,,,,,,,,,
organized,,,Context,,,,,,,,,,,,,,,
out of control,,,Context,,,,,,,,,,,,,,,
out of sorts,,,Context,,,,,,,,,,,,,,,
outmaneuvered,,,Context,,,,,,,,,,,,,,,
outraged,,,Context,,,,,,,,,,,,,,,
overjoyed,,,Context,,,,,,,,,,,,,,,
overlooked,,,Context,,,,,,,,,,,,,,,
overwhelmed,,,Context,,,,,,,,,,,,,,,
panicked,,,Context,,,,,,,,,,,,,,,
passionate,,,Context,,,,,,,,,,,,,,,
passive,,,Context,,,,,,,,,,,,,,,
pathetic,,,Context,,,,,,,,,,,,,,,
peaceful,,,Context,,,,,,,,,,,,,,,
pensive,,,Context,,,,,,,,,,,,,,,
perplexed,,,Context,,,,,,,,,,,,,,,
phobic,,,Context,,,,,,,,,,,,,,,
playful,,,Context,,,,,,,,,,,,,,,
